Time_Stamp,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
2/2/2015 14:19,23.7,26.272,585.2,749.2,0.004764163,1
2/2/2015 14:19,23.718,26.29,578.4,760.4,0.004772661,1
2/2/2015 14:21,23.73,26.23,572.6666667,769.6666667,0.004765153,1
2/2/2015 14:22,23.7225,26.125,493.75,774.75,0.004743773,1
2/2/2015 14:23,23.754,26.2,488.6,779,0.004766594,1
2/2/2015 14:23,23.76,26.26,568.6666667,790,0.004779332,1
2/2/2015 14:25,23.73,26.29,536.3333333,798,0.004776136,1
2/2/2015 14:25,23.754,26.29,509,797,0.004783094,1
2/2/2015 14:26,23.754,26.35,476,803.2,0.004794094,1
2/2/2015 14:28,23.736,26.39,510,809,0.004796189,1
2/2/2015 14:29,23.745,26.445,481.5,815.25,0.004808886,1
2/2/2015 14:30,23.7,26.56,481.8,824,0.004816793,1
2/2/2015 14:31,23.7,26.6,475.25,832,0.004824104,1
2/2/2015 14:31,23.7,26.7,469,845.3333333,0.004842381,1
2/2/2015 14:32,23.7,26.774,464,852.4,0.004855906,1
2/2/2015 14:34,23.7,26.89,464,861,0.00487711,1
2/2/2015 14:35,23.7,26.9725,455,880,0.004892191,1
2/2/2015 14:36,23.6,26.89,454,891,0.004847594,1
2/2/2015 14:37,23.64,26.976,458,897.6,0.004875045,1
2/2/2015 14:38,23.65,27.05,464,900.5,0.004891492,1
2/2/2015 14:38,23.64,27.1,473,908.8,0.00489763,1
2/2/2015 14:39,23.6,27.16,464,918,0.004896652,1
2/2/2015 14:41,23.6,27.236,498.4,925.2,0.004910462,1
2/2/2015 14:42,23.6,27.29,530.2,929.4,0.004920275,1
2/2/2015 14:43,23.6,27.33,533.6,936.4,0.004927544,1
2/2/2015 14:44,23.6,27.34,524.25,950,0.004929361,1
2/2/2015 14:44,23.625,27.3925,498.6666667,961,0.004946406,1
2/2/2015 14:45,23.6,27.39,516.3333333,963,0.004938448,1
2/2/2015 14:47,23.6,27.412,501.2,958.6,0.004942446,1
2/2/2015 14:48,23.6,27.5,522,965.3333333,0.004958439,1
2/2/2015 14:49,23.6,27.525,520.5,979.25,0.004962982,1
2/2/2015 14:50,23.6,27.6,505.2857143,978.4285714,0.004976614,1
2/2/2015 14:51,23.6,27.6,488.3333333,983,0.004976614,1
2/2/2015 14:51,23.6,27.54,512,992.6,0.004965709,1
2/2/2015 14:53,23.6,27.6,511,997.2,0.004976614,1
2/2/2015 14:54,23.61666667,27.63333333,501.5,999.5,0.004987718,1
2/2/2015 14:55,23.66666667,27.7,503.6666667,1001,0.005015051,1
2/2/2015 14:55,23.6,27.7,483.1666667,1009.5,0.00499479,1
2/2/2015 14:57,23.6,27.7225,483.5,1019,0.004998879,1
2/2/2015 14:57,23.6,27.79,473,1021,0.005011149,1
2/2/2015 14:58,23.6,27.85666667,470.3333333,1024.666667,0.005023268,1
2/2/2015 15:00,23.6,27.80428571,480.1428571,1030.428571,0.005013746,1
2/2/2015 15:01,23.575,27.79,464,1026.25,0.005003545,1
2/2/2015 15:02,23.54,27.81,474.4,1028,0.004996538,1
2/2/2015 15:03,23.6,27.978,470,1034.8,0.005045325,1
2/2/2015 15:04,23.525,28,454,1055.5,0.005026367,1
2/2/2015 15:04,23.5,27.978,454,1055.25,0.00501476,1
2/2/2015 15:06,23.5,28,454,1050,0.005018735,1
2/2/2015 15:07,23.5,28,454,1051.25,0.005018735,1
2/2/2015 15:08,23.5,28,445,1053.6,0.005018735,1
2/2/2015 15:08,23.5,28,439,1055.5,0.005018735,1
2/2/2015 15:10,23.5,28.025,444.25,1055,0.005023252,1
2/2/2015 15:10,23.445,28.125,454.75,1059.5,0.005024491,1
2/2/2015 15:11,23.39,28.18,455.8,1060,0.005017582,1
2/2/2015 15:13,23.39,28.2,451.6,1073.6,0.005021172,1
2/2/2015 15:14,23.39,28.2,451.6,1078.6,0.005021172,1
2/2/2015 15:15,23.39,28.2,454.75,1081,0.005021172,1
2/2/2015 15:16,23.39,28.2225,454.75,1082,0.005025211,1
2/2/2015 15:16,23.39,28.37333333,457.5,1088.833333,0.005052286,1
2/2/2015 15:17,23.37,28.39,464,1090.6,0.00504913,1
2/2/2015 15:19,23.39,28.32333333,464,1086,0.00504331,1
2/2/2015 15:20,23.37333333,28.445,464,1092.5,0.005060017,1
2/2/2015 15:21,23.39,28.5,471.5,1103.75,0.005075025,1
2/2/2015 15:22,23.32333333,28.5,475.6666667,1104.5,0.005054476,1
2/2/2015 15:23,23.365,28.5,471.5,1103.5,0.00506731,1
2/2/2015 15:23,23.29,28.5,467.75,1112,0.005044229,1
2/2/2015 15:24,23.30666667,28.53333333,466.5,1105.666667,0.005055304,1
2/2/2015 15:26,23.29,28.7,464,1104,0.005079916,1
2/2/2015 15:27,23.29,28.7,467,1117.2,0.005079916,1
2/2/2015 15:28,23.29,28.675,467.75,1121.25,0.005075455,1
2/2/2015 15:29,23.29,28.61666667,466.5,1115.666667,0.005065046,1
2/2/2015 15:29,23.29,28.66,459,1120,0.005072779,1
2/2/2015 15:30,23.29,28.55,464,1123.75,0.005053151,1
2/2/2015 15:32,23.29,28.6,470,1116,0.005062072,1
2/2/2015 15:33,23.272,28.6,464,1126.8,0.005056527,1
2/2/2015 15:34,23.2,28.4175,464,1112.75,0.005002016,1
2/2/2015 15:35,23.23,28.5,449,1104.5,0.005025831,1
2/2/2015 15:36,23.29,28.5,464,1108,0.005044229,1
2/2/2015 15:36,23.215,28.63333333,462.3333333,1127.833333,0.005044923,1
2/2/2015 15:38,23.2,28.6,469,1128.75,0.005034399,1
2/2/2015 15:39,23.2,28.65,469,1124.25,0.005043272,1
2/2/2015 15:40,23.2,28.62,469,1130.4,0.005037948,1
2/2/2015 15:40,23.2,28.7,464,1138,0.005052145,1
2/2/2015 15:42,23.2,28.7,456.5,1144,0.005052145,1
2/2/2015 15:42,23.2,28.718,457,1140,0.005055339,1
2/2/2015 15:43,23.2,28.79,450.25,1139.25,0.005068117,1
2/2/2015 15:45,23.2,28.79,446,1167.333333,0.005068117,1
2/2/2015 15:46,23.14,28.79,451.6,1159.6,0.005049618,1
2/2/2015 15:47,23.15,28.89,454.75,1157.75,0.005070391,1
2/2/2015 15:48,23.15,28.89,448,1159.5,0.005070391,1
2/2/2015 15:49,23.18,28.83,444,1156.4,0.005069034,1
2/2/2015 15:49,23.11666667,28.945,444,1160,0.005069809,1
2/2/2015 15:51,23.14,28.956,444,1169.8,0.005078972,1
2/2/2015 15:52,23.1,29,444,1176.166667,0.005074362,1
2/2/2015 15:53,23.1,29.075,444,1175.25,0.005087593,1
2/2/2015 15:53,23.1,28.918,444,1166.6,0.005059897,1
2/2/2015 15:55,23.1,27.925,444,1140.25,0.004884784,1
2/2/2015 15:55,23.06,27.772,444,1089.2,0.004845979,1
2/2/2015 15:56,23.02,27.556,435,1042.6,0.004796284,1
2/2/2015 15:58,23.01,27.81883333,432,1051.1,0.004839435,1
2/2/2015 15:59,23,28.08166667,429,1059.6,0.004882538,1
2/2/2015 16:00,23,27.956,429,1064.6,0.004860518,1
2/2/2015 16:01,22.98166667,27.90833333,429,1061.666667,0.004846741,1
2/2/2015 16:01,23,27.92666667,429,1058.333333,0.004855378,1
2/2/2015 16:02,23,28.018,429,1061.6,0.004871382,1
2/2/2015 16:04,22.98166667,28.06666667,429,1070.333333,0.004874454,1
2/2/2015 16:05,22.945,28.1,429,1074,0.004869381,1
2/2/2015 16:06,23,28.1,429,1086.25,0.004885751,1
2/2/2015 16:07,22.956,28.2,429,1089.6,0.004890128,1
2/2/2015 16:08,22.9725,28.1,429,1085,0.00487756,1
2/2/2015 16:08,22.945,28.13333333,429,1085,0.004875203,1
2/2/2015 16:09,23,28.2,429,1088,0.004903275,1
2/2/2015 16:11,22.945,28.2,429,1091.75,0.004886846,1
2/2/2015 16:12,23,28.13333333,429,1091.333333,0.004891592,1
2/2/2015 16:13,22.912,28.1,429,1088.2,0.004859583,1
2/2/2015 16:14,22.89,28.1,429,1087.5,0.00485306,1
2/2/2015 16:14,22.89,27.956,432,1079.2,0.004827998,1
2/2/2015 16:15,22.865,27.84,432.75,1077.25,0.004800476,1
2/2/2015 16:17,22.87333333,27.68333333,439,1064.166667,0.004775684,1
2/2/2015 16:18,22.87333333,27.6,429,1056.4,0.004761198,1
2/2/2015 16:19,22.89,27.6,432.75,1043.6,0.004766045,1
2/2/2015 16:20,22.815,27.445,432.75,1039.5,0.004717422,1
